word,degree_centrality,strength_weight,eigenvector_centrality
品牌,0.9393939393939394,1542,0.1498332478498046
产品,0.9494949494949496,1440,0.14959066129206994
消费者,0.8787878787878789,1127,0.14439043945926228
标准,0.8585858585858587,940,0.14372737560367768
更,0.797979797979798,522,0.13980523607149928
ABC,0.8383838383838385,831,0.13680080524642246
说,0.7676767676767677,442,0.13639951727611443
女性,0.9292929292929294,2586,0.13579756062555437
翻新,0.7575757575757577,925,0.13406777290720734
企业,0.7676767676767677,491,0.13251791039140248
生产,0.7777777777777778,469,0.13246478536296616
做,0.696969696969697,296,0.13126830162145042
健康,0.7777777777777778,550,0.1309517273929912
医用,0.787878787878788,881,0.1299144818394068
卫生,0.6767676767676768,329,0.12659625322381376
没,0.6363636363636365,234,0.12631471536585212
质量,0.6464646464646465,326,0.12366602912390263
真的,0.6666666666666667,326,0.12216730351841319
商家,0.6161616161616162,333,0.11842126605059339
中,0.6565656565656566,366,0.11794870774839182
月,0.6161616161616162,195,0.11741877416693923
长度,0.7070707070707072,939,0.11714180447966165
买,0.6565656565656566,421,0.11654769378864736
市场,0.5858585858585859,309,0.11480234945211965
abc,0.6060606060606061,272,0.11471708606078339
关注,0.6464646464646465,284,0.11422039376725664
行业,0.595959595959596,329,0.11405153011871674
网友,0.6464646464646465,323,0.11301373143719291
发现,0.5757575757575758,269,0.11218464350598689
卫生用品,0.5858585858585859,251,0.11190241390310024
时,0.6060606060606061,318,0.11149114294828297
里,0.494949494949495,121,0.10819879237804722
情况,0.5353535353535354,160,0.10753466007735554
想,0.5353535353535354,252,0.1058241379647899
公司,0.5252525252525253,200,0.1056414458237994
女生,0.5252525252525253,147,0.10321781267935858
引发,0.5252525252525253,253,0.10184674817654976
曝光,0.5555555555555556,352,0.10050250983920589
感觉,0.4545454545454546,117,0.09933969015229878
女人,0.4747474747474748,165,0.09933217568076584
事件,0.494949494949495,215,0.09823097493851224
东西,0.4646464646464647,182,0.09798498875524206
希望,0.4646464646464647,163,0.09649466874412836
年,0.4444444444444445,108,0.09564912318823485
月经,0.43434343434343436,121,0.09550426162538944
钱,0.4444444444444445,173,0.0950888938998258
卖,0.4747474747474748,165,0.09447898043736137
环境,0.4545454545454546,184,0.09416830236174756
劣质,0.48484848484848486,174,0.09394927226288027
内裤,0.4646464646464647,205,0.09393215149788557
偷工减料,0.696969696969697,1127,0.0929347242378253
相关,0.4444444444444445,201,0.09290057354071639
需求,0.6464646464646465,931,0.09078045841579586
回应,0.48484848484848486,414,0.09063940751559348
购买,0.4646464646464647,194,0.09056311861491834
一次性,0.4646464646464647,287,0.09042257168367523
国家标准,0.4747474747474748,360,0.09019701752483847
影响,0.4646464646464647,186,0.08980609934896414
口碑,0.6464646464646465,1100,0.08964351776390109
选择,0.4444444444444445,198,0.08854991236528159
官方,0.4040404040404041,176,0.08845769515788157
纸尿裤,0.4141414141414142,156,0.08789006459469498
级,0.4444444444444445,208,0.08778884768987635
权益,0.4444444444444445,174,0.08759324965381646
价格,0.4444444444444445,184,0.08705175108957866
包装,0.42424242424242425,202,0.08647640033142152
pH,0.4646464646464647,414,0.0852177206407667
315,0.4747474747474748,352,0.08503322181367809
值,0.48484848484848486,392,0.08500639690429997
质疑,0.43434343434343436,213,0.08468415309850026
贵,0.393939393939394,175,0.08437674988545571
点,0.393939393939394,132,0.08382728888699521
符合,0.4444444444444445,326,0.08358661013559736
成本,0.6161616161616162,1040,0.08288055485488412
误差,0.43434343434343436,374,0.08287984635477798
消毒,0.37373737373737376,202,0.08202883924116719
客服,0.43434343434343436,438,0.08177335811212284
皮肤,0.4646464646464647,383,0.08081915372606722
搜,0.42424242424242425,162,0.08030749562195542
导致,0.393939393939394,170,0.07896312503991788
残次品,0.33333333333333337,136,0.0765765380105107
接触,0.43434343434343436,365,0.07657364613467418
垃圾,0.33333333333333337,147,0.0763119295818234
女,0.33333333333333337,93,0.07544255071669197
护垫,0.37373737373737376,219,0.07539928177310372
应,0.5555555555555556,1007,0.07534769571846074
微博,0.43434343434343436,279,0.07472984937732252
称,0.37373737373737376,237,0.07450925179087205
压缩,0.5656565656565657,962,0.07378048945304583
信任,0.36363636363636365,215,0.0736215250874096
晚会,0.37373737373737376,295,0.06938296211391227
苏菲,0.30303030303030304,109,0.06833900293140441
吸收,0.30303030303030304,172,0.06556377356846631
偏差,0.27272727272727276,211,0.061919927909470845
垫,0.3434343434343435,273,0.06000805344133045
视频,0.29292929292929293,205,0.05428375691170977
护理,0.2828282828282829,265,0.05354251313217006
正视,0.36363636363636365,863,0.04657481134416769
元,0.15151515151515152,66,0.03678989021907423
消费品,0.17171717171717174,765,0.02372767158670806
